 Mean of the integrated profile, Standard deviation of the integrated profile, Skewness of the integrated profile, Mean of the DM-SNR curve, Excess kurtosis of the DM-SNR curve, Skewness of the DM-SNR curve,target_class
108.7578125,47.47083744,-0.011839737,3.428929766,7.431087285,58.33907469,0
117.6796875,47.45704202,-0.13550329,2.731605351,8.401668908,71.5876406,0
43.5,28.49122672,26.33986977,39.58528428,1.706101856,1.403351821,1
122.09375,50.78346149,-0.417075863,1.796822742,10.42457337,0,0
121.5546875,58.891294,-0.71180853,3.219063545,7.775510532,69.80281758,0
107.703125,44.72631345,0.390774775,2.598662207,8.498741192,85.01391793,0
84.546875,35.81045138,2.969175667,1.196488294,13.95346437,228.9704449,0
126.5625,40.25305695,0.431275602,2.380434783,9.514008553,95.38102129,0
66.8515625,58.08803796,2.232983407,67.02090301,0.841739875,-0.637751734,1
100.078125,51.50828352,0.060150662,4.108695652,7.119164178,0,0
135.265625,50.1224258,-0.398289737,2.705685619,8.357114893,99.26768573,0
105.2734375,48.25303016,0.450317547,2.418896321,8.490664705,81.51229523,0
142.96875,41.5584937,0.391281115,7.115384615,4.747219416,22.29795865,0
107.171875,41.14268415,1.514337381,1.316889632,13.66969118,250.5981445,0
126.2734375,49.21790116,-0.176735487,2.432274247,9.203359217,124.8081583,0
128.34375,46.15859845,0.130211339,3.647993311,6.774932869,0,0
89.4453125,36.53675559,3.164132145,1.850334448,11.89374235,163.945695,0
110.0625,41.78960509,0.949607938,1.611204013,11.80778947,170.3712138,0
98.5234375,46.92896308,0.341512169,1.077759197,14.09775951,224.3125948,0
107.0703125,51.69519797,-0.400657998,1.83277592,10.53007549,117.1317754,0
131.4765625,55.99497255,-0.596634779,2.857859532,8.947855846,94.30128595,0
95.6796875,40.81665055,1.450842937,3.606187291,7.998484715,73.62044003,0
109.3359375,47.86100927,0.266654812,2.219063545,9.655650399,123.2870333,0
120.59375,55.71389491,-0.232141931,3.531772575,8.088507973,75.91971125,0
112.5390625,47.18711131,-0.126275519,2.31187291,8.90862045,84.42433287,0
114.828125,49.34573648,-0.313794504,5.418060201,5.904226293,35.5156541,0
126.1015625,50.90245571,-0.524239396,8.883779264,4.530755412,0,0
126.2421875,49.2720043,-0.147103385,1.461538462,12.6384925,216.9895575,0
117.2421875,52.80221736,-0.367926062,1.358695652,13.0676726,204.3573271,0
134.8046875,47.98210255,0.014367744,5.170568562,6.142707674,39.65366837,0
118.9375,49.80755935,0.036605939,0.758361204,18.47212344,418.4345867,0
130.21875,45.73957147,0.29734548,5.718227425,5.823780289,38.07241826,0
103.03125,35.7580711,1.648295446,2.10367893,9.658143197,100.1517883,0
96.3125,41.47848652,1.158834437,2.574414716,9.061327574,106.2126468,0
110.2890625,48.79103279,-0.188130235,1.130434783,14.04214862,223.5576777,0
118.140625,58.5621644,-0.804809152,2.054347826,10.69513835,145.1337069,0
69.2109375,35.25723604,4.435121802,2.345317726,9.389613296,91.75081705,1
120.03125,55.15148705,-0.361874096,3.170568562,7.026262799,58.5223561,0
94.5,49.49542277,0.547892636,2.265886288,9.61352178,134.1595321,0
144.75,42.04276097,0.646575786,2.069397993,11.05503987,150.6634825,0
119.984375,45.06384089,0.128979534,2.359531773,9.341504038,112.9758503,0
126.5546875,45.01333285,0.308553175,4.983277592,5.938614333,34.91794317,1
126.5546875,53.52055805,-0.27756295,16.89632107,2.934545546,7.168551386,0
130.2265625,36.63805545,1.299277285,17.47826087,2.674940606,6.396015875,0
128.2890625,55.26514956,-0.443164315,1.846989967,11.14255826,161.8683904,0
139.140625,43.63838161,0.098468574,4.258361204,6.312534394,45.61077912,0
128.984375,52.18102271,-0.429864195,1.199832776,13.27809821,183.2836143,1
95.0078125,37.6525016,1.802161665,2.950668896,7.809740763,66.80014907,0
95.2890625,47.04006808,0.50311606,4.890468227,6.239235941,44.17721975,0
105.3125,41.73423168,1.583587725,56.20317726,0.858483317,0,1
79.0703125,43.38385781,3.885098004,34.2173913,1.718283135,1.680739323,1
131.7734375,46.85803274,0.272260622,4.265050167,6.467703319,44.06410147,0
98.5625,40.05323606,1.437456043,3.413879599,7.736375912,0,0
131.9609375,44.18027741,0.406702378,2.555183946,8.590099462,87.22027034,0
110.7890625,46.24217034,0.017427097,1.158862876,14.97007423,294.0762933,0
136.0625,42.71668109,0.361931836,3.578595318,7.560096807,60.96025706,0
118.8046875,46.7792453,0.117742368,2.276755853,9.595852078,117.9152166,0
128.8125,45.60457591,0.367626019,4.872909699,6.23498471,40.15793412,0
112.5859375,37.17537141,1.379678654,14.41220736,3.501441472,10.35561243,0
132.6640625,56.39374374,-0.682348594,3.18729097,7.62037474,75.8111878,0
124.828125,44.10748756,0.865675377,1.475752508,11.32404069,144.9861215,0
103.0078125,48.70614952,-0.010529437,0.960702341,16.61156827,359.8311141,0
117.2890625,43.42039274,0.533665705,1.909698997,9.654999002,105.3946846,0
147.7109375,55.93301691,-0.493051215,2.158862876,9.987386854,101.7108027,0
115.4609375,58.18490224,-0.478993736,1.5,12.34754736,177.3936502,0
116.234375,50.75346115,0.091198089,1.641304348,12.88081641,233.8960053,0
148.1171875,46.38217955,0.029699801,2.637123746,8.436628605,87.22365527,0
101.6328125,42.31187612,1.086732511,0.775919732,17.30353586,363.8950596,0
93.2734375,34.48770497,3.108239721,2.045150502,9.588639417,110.0131655,0
133.2734375,48.00857912,-0.123905232,2.740802676,8.525313322,96.51837908,0
139.890625,38.53675891,1.335937209,1.448996656,12.56388266,180.838643,0
122.4296875,52.13948893,0.013024589,15.73996656,2.913488041,7.745976362,0
139.78125,66.88947711,-1.169241732,2.683946488,8.806097052,79.95945791,0
124.8671875,49.24529976,-0.160817322,2.652173913,9.324247322,93.52595981,0
134.203125,49.21181251,0.151413844,2.596153846,8.795951878,95.56160728,0
121.7265625,45.79859353,0.469878693,1.376254181,11.96387152,176.79078,0
96.8984375,47.00479361,0.529467661,1.039297659,14.87193307,233.5906772,0
109.6796875,46.94060968,-0.00894943,4.339464883,6.403328919,44.19212674,0
97.4140625,43.65749638,0.823766476,1.989966555,10.14478276,111.8042062,0
128.890625,52.09595029,-0.147498257,1.372073579,14.40569903,291.6838658,0
107.625,37.77668759,1.73132566,2.173913043,9.407370847,111.7509017,0
96.21875,42.14594018,0.970000225,1.464046823,12.34942974,182.5616543,0
76.5703125,39.10596254,2.174818818,1.868729097,10.55616694,115.6891888,0
145.8359375,50.62419403,-0.029142406,0.501672241,28.13728243,880.1561192,0
106.890625,60.36881883,-0.710808631,1.144648829,14.95015275,246.2772252,0
140.4296875,47.06406598,0.499820383,0.543478261,22.57353773,532.2214245,0
101.2890625,39.74727828,1.695142493,2.071070234,9.321298743,99.14919639,0
138.8046875,47.95620701,0.144511739,4.719063545,6.387733991,43.34347306,0
121.8671875,50.26156134,-0.08782148,8.392976589,4.36482761,18.46770379,0
86.5625,33.18290929,4.018279676,2.364548495,8.557061818,86.85427143,0
60.296875,46.44508844,4.677566913,99.69816054,0.078518481,-1.173577082,1
120.7265625,36.47317397,1.223632929,3.061036789,8.168925188,82.29515076,0
109.4453125,45.58436694,0.324588769,1.595317726,12.502274,215.8325409,0
105.8515625,30.57549311,3.899363677,3.260033445,7.402200439,0,0
119.8046875,44.39208449,0.820881228,3.011705686,8.05999557,63.59336881,0
123.7109375,49.39717103,-0.274334322,4.110367893,7.044723014,54.05241061,0
121.1015625,51.76944681,-0.33796855,1.35451505,14.92496544,308.5622582,0
123.828125,49.61289358,-0.067658364,1.367056856,13.47996527,198.7125278,0
108.9140625,51.42379485,-0.212734338,3.14548495,7.933097984,83.85962351,0
128.6328125,43.82027768,0.175957503,1.994983278,9.534335567,104.7606871,0
61.671875,36.37545304,8.709980861,5.593645485,6.072215931,38.23599074,1
128.2578125,41.2530768,0.485866888,23.81688963,2.384960386,4.001859336,0
142.2890625,49.05611461,-0.096114076,15.65133779,3.073278401,8.20273753,0
151.609375,50.19528028,-0.26863383,5.915551839,5.836690022,34.97496404,0
141.1953125,41.90652891,0.392180358,2.548494983,8.97622333,95.09153792,0
110.0234375,41.40830699,0.603376608,0.718227425,21.50492262,508.6851987,0
133.0703125,56.08993665,-0.405669597,19.85033445,2.633799311,5.41962489,0
100.9765625,43.2256913,0.515795646,6.659698997,5.384701738,30.19260845,0
130.3046875,53.43622931,-0.565564884,2.726588629,8.065141303,69.60499262,0
115.0859375,50.8593384,-0.15021642,1.845317726,10.45845959,117.2032047,0
79.9375,35.63327755,3.581447394,1.014214047,14.60607424,245.8090794,0
127.8046875,53.55838791,-0.360250434,1.923076923,10.79403768,170.1499551,0
114.5859375,59.537085,-0.705472728,3.777591973,7.74997845,60.45059899,1
130.9375,52.4000164,-0.558537431,4.762541806,6.508806491,44.34794277,0
108.90625,48.72650676,0.279033174,103.0936455,-0.169285978,-1.903601932,0
114.5546875,50.90490653,-0.261158229,2.672240803,8.356151236,81.24054453,0
127.921875,55.65246645,-0.698161438,1.986622074,10.60320028,124.8907766,0
144.0859375,49.2923402,-0.180708288,2.679765886,7.831107155,75.93746199,0
114.1640625,50.97407082,-0.312988521,1.214882943,13.37219915,218.3875382,0
115.890625,50.11459281,0.130624868,1.903846154,11.41807824,170.6095746,0
87.53125,38.65066653,1.557485679,3.081103679,7.861436973,64.38405498,0
130.78125,47.61613065,-0.114471999,1.898829431,11.42853253,180.1409052,0
118.0390625,36.17630491,1.711139757,2.178093645,9.983023816,113.6424732,0
125.3671875,49.26583995,-0.119016489,2.556856187,8.869674605,105.5824476,0
131.40625,52.96924779,-0.366704922,175.5785953,-1.186196012,-0.224693974,0
109.203125,51.11298138,0.055751965,2.070234114,10.25307236,129.8853999,0
106.5,46.85716327,0.195138691,31.57608696,1.69389221,1.348606691,0
9.7421875,30.26219953,50.95424904,84.11705686,0.901047513,0.556315962,1
102.875,43.57590361,1.188921894,4.350334448,6.535209822,44.61361827,0
95.8828125,48.97346557,0.730957013,1.739130435,11.53867869,174.4031315,0
130.1015625,49.1820343,0.011775402,2.397993311,8.738222472,101.1514239,0
135.078125,43.11713866,0.061427247,2.080267559,9.979061296,135.7853557,0
114.9609375,46.56286113,0.119018599,1.793478261,11.19442979,131.2517845,0
133.4765625,48.63222389,-0.102144782,3.754180602,7.211629975,54.14399937,0
122.7265625,48.97348052,0.002608603,10.40217391,4.020460464,15.51974367,0
84.3359375,42.10260483,1.982141691,11.53344482,3.969981663,14.9778981,1
97.8125,38.59540735,1.814031082,3.320234114,7.860980927,69.13862025,0
107.546875,45.32001823,0.741843588,1.622073579,12.00796612,199.7906326,0
118.171875,43.39698819,0.769809411,2.565217391,8.510258639,86.45863399,0
115.078125,55.9505375,-0.465533862,2.299331104,9.781064313,99.77506737,0
105.9609375,48.5496528,0.50094631,63.16722408,0.63255938,-1.547940266,0
109.6171875,37.00593725,1.35308612,1.548494983,12.10582453,183.266663,0
114.203125,49.44589205,-0.141872468,2.486622074,9.228698148,109.2857195,0
119.546875,41.53741901,1.049137968,4.216555184,6.499651157,43.06361551,0
124.2109375,50.14972151,0.144351009,2.248327759,9.902157411,130.2123271,0
95.9296875,49.88693209,-0.321400647,27.05769231,2.181897698,2.803189926,0
66.4921875,33.84292672,10.99489305,7.834448161,5.091572704,26.9122828,1
108.125,46.4058186,0.234800176,2.015886288,9.779744598,105.9008688,0
85.796875,39.86625284,1.452630674,1.621237458,11.40062521,156.557796,0
121.765625,55.67897443,-0.528603896,12.14882943,3.444348735,11.16470595,0
136.4453125,54.86628755,-0.588693512,1.852842809,11.05802875,127.1433921,0
150.25,53.49328229,-0.309404146,2.37541806,10.26621986,116.0802966,0
95.3671875,45.34225249,1.309664351,25.07441472,1.516937446,1.262354826,0
143.7109375,47.21959212,0.190579156,1.191471572,16.58796639,371.4528926,0
122.8125,39.16327002,0.782359685,3.902173913,6.539225555,47.98775704,0
122.3359375,48.86449333,-0.288818016,119.0326087,-0.613265858,-1.512690424,0
121.171875,48.48197303,-0.132767876,3.699832776,7.361531784,67.71918387,0
36.46875,39.27287102,14.9146447,111.1229097,0.253562477,-0.936103674,1
111.2109375,44.75639835,0.126347724,0.887123746,17.11080776,358.504497,0
133.0859375,52.80817694,-0.295598653,4.035117057,6.923330065,48.70415228,0
137.75,51.56731038,-0.122476171,111.027592,-0.363839554,-1.348618574,0
107.328125,50.27908197,-0.224435364,4.903846154,5.88730409,37.75569403,0
83.8125,40.59012927,1.617375621,1.977424749,10.64449998,134.2461138,0
121.84375,40.74874183,1.231334637,2.086956522,10.53203558,147.25912,0
102.59375,52.77849312,0.098896545,147.1856187,-1.169558054,-0.130999459,0
77.984375,37.42262525,2.953030566,1.435618729,13.58720152,244.4614268,0
60.5234375,41.38122401,8.285401673,2.420568562,10.40307237,118.6298063,1
104.015625,47.70727545,0.553664436,102.9214047,-0.820295935,-1.159350765,0
105.2265625,55.72255698,-0.479538943,2.586956522,8.684067361,84.57739566,0
126.984375,48.37709691,0.38636732,9.857023411,3.928965722,14.82668149,0
138.34375,56.09066844,-0.286798828,3.259197324,7.493529924,65.33364684,0
98.46875,40.45134761,0.886810107,1.683946488,13.48958878,227.4718075,0
138.3359375,49.13045093,-0.226105863,49.89464883,1.233599293,-0.166435935,0
130.6328125,53.13380384,-0.787813653,142.1856187,-0.687955054,-0.923200345,0
115.78125,48.15241711,-0.072645839,2.268394649,10.0074052,115.7066643,0
114.484375,44.2146724,0.149187376,1.198160535,13.17346116,178.6200991,0
98.453125,43.74836772,0.545368928,1.401337793,12.95968536,0,0
111.0703125,33.78335935,2.310879482,1.699832776,11.60922563,171.0234465,0
132.09375,46.29498446,0.212466386,2.244147157,9.869735634,118.2008067,0
133.1328125,53.14225765,0.059228296,3.99916388,7.091702161,54.07947647,0
117.21875,56.38773935,-0.51490464,2.763377926,8.615121645,92.89865266,0
144.125,46.05957419,-0.234824956,1.669732441,12.1857376,178.2883233,0
93.46875,45.98215304,0.323680061,1.275919732,13.80627565,230.4949919,0
106.234375,47.12657232,0.462411635,2.510869565,9.166237346,96.82954146,0
127.8203125,45.15553565,0.136251307,2.607023411,9.23503588,90.2469822,0
114.171875,54.38895071,-0.471439018,8.150501672,4.732799763,23.08969583,0
103.5078125,40.05367416,1.442413744,1.553511706,12.12823845,155.3227666,0
120.171875,54.39182346,-0.642442876,1.348662207,13.40136586,217.4031374,0
117.578125,46.88260095,-0.260848326,2.274247492,9.171303117,103.5689514,0
105.96875,42.85275252,0.924778828,2.12541806,10.16590541,106.9360205,0
87.671875,41.07084378,1.245056491,2.205685619,9.79333591,125.782002,0
130.1484375,47.80936915,-0.201564654,2.337792642,9.214074319,98.48469875,0
120.8515625,46.70320015,0.447279133,1.809364548,11.93053323,201.6532056,0
83.0390625,46.09270589,3.460698399,59.11956522,0.687108544,-0.177076013,0
144.5546875,49.36832369,0.003438096,4.556856187,7.012918477,50.59069134,0
41.7734375,30.20948083,20.28308868,12.72993311,3.791869842,14.13000943,1
123.9453125,51.22168556,-0.289606488,1.698996656,11.85287836,150.0962823,0
139.640625,39.27442202,0.862941112,1.717391304,11.7794491,195.5969318,0
93.734375,45.36165168,0.603970414,0.764214047,17.94934163,369.5528598,0
128.2265625,57.49323531,-0.429125702,4.14548495,6.829105911,49.72000315,0
135.46875,47.36690853,-0.05506863,4.212374582,6.854449719,49.36971326,0
125.9453125,49.80309801,-0.221378284,1.75083612,10.98693284,143.2169707,0
139.8359375,48.39643862,-0.015617372,2.580267559,8.497038558,94.02279185,0
101.65625,40.0613665,0.777562644,3.377926421,7.086230907,54.22525788,0
111.3515625,46.17689998,0.413929451,5.799331104,5.589647701,32.60251571,0
142.0859375,45.92895794,0.061267439,1.734949833,11.00744751,159.2803401,0
55.5078125,51.49848239,4.156706332,7.33277592,5.034427743,25.43865862,1
71.5546875,39.39797119,5.818561928,4.835284281,6.291798542,42.25289482,1
138.3671875,53.7255571,-0.402939199,1.902173913,11.5054638,0,0
115.5,50.36864104,-0.443382402,3.847826087,7.034078746,56.86715207,0
118.765625,42.16957663,0.55925885,5.732441472,5.817459209,34.32272154,0
133.5234375,53.43014786,-0.087891458,1.557692308,10.93019437,128.0259026,0
110.796875,54.8917058,-0.493729967,1.448160535,11.38841631,143.7556606,0
116.5390625,52.28167436,-0.433520599,2.12541806,9.049086227,91.01578472,0
33.328125,42.07862978,12.32436172,101.5953177,0.018839747,-1.330800683,1
103.0078125,45.64956464,0.696161157,2.054347826,10.59309039,145.4333334,0
122.6328125,51.64782654,-0.02528834,3.507525084,7.107382559,53.6419203,0
114.921875,54.09260136,-0.610939454,2.058528428,10.32826388,130.2293738,0
147.25,50.59659697,-0.362322805,1.621237458,11.33829665,143.9284869,0
111.140625,43.86676105,0.588207638,1.464046823,11.94749845,156.9475357,0
151.9296875,61.1831502,-0.571877226,75.02591973,0.909743039,-0.008210958,0
108.890625,46.6391122,1.096165284,3.131270903,9.004847741,85.18559416,0
139.6640625,47.97301933,0.123057192,2.280936455,10.12838211,121.7322717,0
29.953125,38.36540177,17.81368022,141.4607023,0.195576924,-0.757497279,1
115.8203125,32.94797831,2.63058637,3.461538462,6.971780245,55.5504988,0
128.2265625,51.86132573,-0.476816314,1.727424749,11.28352502,162.0751265,0
125.0703125,50.57376784,-0.322090337,2.011705686,9.939889978,103.4500512,0
148.25,44.53018639,0.052532439,2.961538462,8.086048067,85.78354849,0
126.46875,46.92729375,-0.103949405,2.674749164,8.65581311,76.30278061,0
132.6953125,47.29504443,-0.044360135,1.747491639,10.6800712,0,0
139.1953125,51.79361969,-0.034691034,16.0367893,3.028961098,7.80243152,0
112.5859375,39.1472635,1.566673172,1.377926421,14.63770831,290.0193681,0
91.25,49.0600716,0.063733372,2.524247492,10.48884236,0,0
113.4921875,46.84765804,0.009136227,2.428929766,8.521578097,88.79062641,0
174.25,50.65354134,1.237030944,25.93645485,1.899281403,1.896178137,0
128.4609375,44.40789315,-0.169525859,4.656354515,6.323110219,46.65180069,0
118.09375,48.40768235,-0.011905415,132.4147157,-0.450082466,-1.443497102,0
133.859375,47.59935897,-0.377985873,1.898829431,11.42515568,140.0004875,0
18.8515625,35.76968205,27.66574162,63.01755853,0.901415515,0.080799131,1
82.7890625,40.26506945,1.871258295,1.757525084,10.70871092,142.0079002,0
115.359375,55.05419693,-0.419988282,3.269230769,8.193471037,78.82876784,0
90.125,42.90341624,1.105027547,2.301003344,9.050778963,114.2138095,0
144.7890625,49.46521068,-0.29886941,3.0409699,8.456754677,86.80656206,0
101.6171875,42.92801407,0.56078363,2.211538462,10.31028488,128.6810132,0
127.78125,47.14802778,0.299721713,3.781772575,6.967673247,53.62233903,0
125.609375,49.4465043,-0.087822207,11.27675585,3.754499805,0,0
133.359375,43.40700087,0.39648982,2.530936455,8.365814199,90.16391681,0
143.828125,56.15507398,-0.549918126,3.712374582,7.038536037,55.76044216,0
133.2734375,60.16354207,-0.730157945,2.988294314,8.159658681,77.67475322,0
126.0625,43.7503125,0.162166454,2.9590301,7.788738236,84.44034542,0
35.15625,30.2377138,24.4866906,34.10117057,1.890020282,2.57213265,1
128.921875,47.81762381,0.095442447,1.530936455,12.25634806,167.0742339,0
86.234375,36.90835025,5.535417171,15.17976589,3.24987218,9.113489622,1
93.5546875,42.5717792,0.988715347,1.139632107,13.20894856,208.7225482,0
26.578125,31.82363739,31.52984285,134.798495,0.029296678,-1.211265258,1
127.359375,51.18497924,-0.40646326,3.834448161,6.963515437,54.56052425,0
115.40625,42.79464728,0.402605084,2.527591973,8.58878788,81.8654112,0
127.109375,53.59749213,-0.580528832,2.460702341,9.029928515,101.1438395,0
124.28125,50.56832283,-0.014235108,0.734113712,19.18767419,453.9086925,0
121.359375,59.79767115,-0.696880594,1.632943144,11.65818833,0,0
111.296875,38.7188099,0.929036337,7.290133779,4.597202838,21.18512014,0
118.8671875,49.53429543,-0.213549688,2.235785953,9.262959755,101.1355316,0
45.5390625,29.88020413,26.25011305,32.57274247,1.913243272,3.389580912,1
129.3125,53.04917383,-0.544251364,2.85451505,8.418442047,83.14328076,0
134.1328125,46.1719563,-0.009397683,4.820234114,5.835401911,36.94532221,0
88.25,39.04604653,1.47049275,4.650501672,6.217865152,40.9873884,0
125.0859375,40.09871167,1.011300611,0.908026756,15.6693427,254.1781949,0
148.1640625,50.12403013,0.141801919,4.107859532,7.891064714,71.48051326,0
119.1875,49.48638544,-0.273948949,6.975752508,5.042874588,26.32192228,0
87.0625,43.6156419,1.129064733,2.377926421,8.700077019,94.21052206,0
123.53125,53.34878418,-0.071600995,0.781772575,17.11829958,339.6608262,0
113.484375,40.12012906,0.92227997,1.558528428,12.01517167,189.724442,0
58.21875,34.92982642,11.69646282,19.09949833,2.906033522,0,1
84.3046875,38.20556213,3.247342726,55.93143813,0.920049101,-0.681004384,0
110.1796875,50.86462327,-0.024075919,2.556856187,8.79132457,87.53265385,0
120.7265625,46.0286451,0.0774015,2.240802676,9.689833966,118.2733024,0
129.7734375,51.47742449,-0.323532742,11.57943144,3.616210073,11.85690397,0
107.3046875,47.93803921,-0.124159851,3.498327759,7.554219075,65.33451214,0
113.96875,45.78651847,0.235490587,20.33361204,2.500739302,5.058425982,0
126.625,42.08158,0.510049159,1.897157191,10.70673956,121.3865424,0
121.203125,41.78167948,0.240895345,4.461538462,6.669519923,49.368631,0
101.0625,49.96150862,0.050890203,4.93729097,6.244868322,39.08537459,0
106.9140625,44.02609797,0.25520681,3.627090301,7.163068116,0,0
107.5546875,45.70708517,0.799653036,1.981605351,10.44046155,134.473229,0
84.25,37.88469348,2.217337953,1.829431438,10.89514792,158.2677374,0
89.921875,45.41503216,0.295845191,6.964882943,5.249469897,29.30172472,0
130.765625,53.61108275,-0.059957328,7.868729097,4.815934425,23.32428341,0
144.6875,43.27830541,0.800714947,0.799331104,16.79253067,336.6940161,0
112.140625,49.30402088,-0.116391428,0.697324415,18.8338939,373.2043379,0
53.53125,33.00093216,15.66956787,37.44147157,1.693955447,1.566517028,1
122.578125,51.53785159,-0.422357514,1.391304348,12.46745639,179.6732358,0
115.09375,43.19314136,0.847138712,1.454849498,12.88219271,192.5781474,0
100.7578125,44.0113171,0.484877898,1.487458194,11.7665722,147.8307712,0
128.8828125,52.4126686,-0.572277978,7.602006689,4.328367812,18.259125,0
90.984375,37.12668018,4.112162062,34.18478261,1.60113238,1.078892484,0
136.1640625,47.35302547,0.172375793,3.214882943,7.079046613,68.20068854,0
133.28125,50.09942264,-0.027823566,5.102842809,6.378455702,43.2050735,0
57.9921875,35.42432429,9.774398141,30.82274247,1.865224083,1.928576186,0
110.1015625,48.708771,0.343425168,1.065217391,14.14140861,230.3871918,0
121.4765625,46.34246919,0.18534396,12.0819398,3.231074949,9.644188388,0
82.7578125,37.50369692,2.160988045,2.165551839,9.645783571,103.0009564,0
114.40625,45.64527589,0.114669323,2.091973244,9.921934242,136.5427469,0
112.4296875,35.53248593,1.689669757,2.470735786,9.841046265,109.7220446,1
16.5546875,47.36358843,15.06497082,112.583612,0.404615957,-0.285589629,1
120.4765625,49.26474475,-0.056021639,3.41722408,7.619867947,67.80819753,0
17.03125,28.36754789,53.1934326,132.9749164,-0.241343492,-1.153211203,1
134.3984375,59.97178241,-0.646057788,168.7366221,-1.140585509,-0.007846472,0
109.21875,46.88465526,0.417320413,1.222408027,13.87534583,240.2034019,0
130.765625,46.37996678,0.403622871,3.609531773,7.341039546,61.52342886,0
137.21875,45.39065458,0.134409084,3.204013378,7.494587933,74.0031036,0
126.8515625,53.12501321,-0.464809459,3.403846154,7.288475426,59.82204584,0
129.6171875,43.90510383,-0.002689519,5.132943144,6.116694586,38.31655117,0
60.1484375,49.56342052,4.475835277,7.959866221,5.155641077,26.6515781,1
124.1328125,60.76586355,-1.18570551,2.12458194,12.06099611,170.9375314,0
104.75,44.37482394,0.289506104,0.968227425,17.03635414,341.2250598,0
128.5234375,51.30179773,-0.288825261,3.565217391,7.369965136,60.30353631,0
122.9453125,43.36785038,0.713727572,3.399665552,7.603947965,59.01409271,0
81.4921875,51.49150356,0.812341004,2.401337793,9.652696181,113.5054868,0
102.2265625,44.21860024,0.553278062,1.456521739,13.90309365,270.9024696,0
117.1484375,45.19680745,-0.000657034,3.638795987,6.521712429,48.29588741,0
110.5703125,41.14222352,0.863544494,3.055183946,7.517765274,68.7982041,0
146.9921875,50.88751322,-0.196808404,115.0894649,-0.793967903,-1.22440009,0
117.3515625,54.76848858,-0.437704335,4.483277592,7.236100363,56.9403984,0
144.3671875,47.78743152,-0.064177109,83.68729097,0.068178141,-1.914268937,0
143.2109375,41.86653876,0.452241526,1.986622074,10.81344515,133.1920851,0
80.953125,38.9504612,1.980699648,0.647993311,20.37696952,451.5722655,0
34.8984375,30.92426228,24.95582131,103.4423077,0.363738982,-0.78513902,1
150.296875,57.74964277,-0.568722134,11.09949833,4.429270911,18.97526667,0
133.890625,41.16472898,1.179817903,3.612876254,7.525768064,57.66552885,0
106.7421875,42.61991284,0.491630578,2.612876254,8.584839674,104.5097669,0
100.890625,36.56548799,1.463629724,1.585284281,12.22915688,198.3949571,0
98.4375,46.76816993,0.155035971,2.56270903,8.56938439,96.82798572,0
137.9453125,58.24132293,-0.676629129,4.801839465,6.37065865,42.81991474,0
65.28125,37.85889458,8.421129231,64.80936455,0.750128066,-0.821381219,1
